nest,nest_success
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-1-2,yes
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-SRB1-4-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-MRC-5-1,no
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-SRB2-5-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02-CF2-4-1,yes
02SR-RG-1-1,no
02SR-RG-1-1,no
02SR-RG-1-1,no
02SR-RG-1-1,no
02SR-RG-1-1,no
02SR-RG-1-1,no
02SR-RG-1-1,no
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
